,,,,,
Cause S/N,Transmitters,Error code(s),Causes,Remedy actions,Time to consequence
1,FT108,0B/0C,Signal fault,"Check TT213, TT210, TT104 <50°C and PT103, PT104, PT115a, PT115b < 6 bar, if not anomalous. Send operator into plant to check indicator and surrounding indicators. If there is congruence between reading in control room and indicator on plant, take down signal protocol for the faulty transmitter. Call electrician. If there is no congruence between reading in control room and indicator on plant.",20 seconds
2,FT109,0B/0C,Signal fault,"Check TT213, TT210, TT104 <50°C and PT103, PT104, PT115a, PT115b < 6 bar, if not anomalous. Send operator into plant to check indicator and surrounding indicators. If there is congruence between reading in control room and indicator on plant, take down signal protocol for the faulty transmitter. Call electrician. If there is no congruence between reading in control room and indicator on plant.",20 seconds
3,LT108,0B/0C,Signal fault,"Check TT213, TT210, TT104 <50°C and PT103, PT104, PT115a, PT115b < 6 bar, if not anomalous. Send operator into plant to check indicator and surrounding indicators. If there is congruence between reading in control room and indicator on plant, take down signal protocol for the faulty transmitter. Call electrician. If there is no congruence between reading in control room and indicator on plant.",20 seconds
4,PT115b,0B/0C,Signal fault,"Check TT213, TT210, TT104 <50°C and PT103, PT104, PT115a, PT115b < 6 bar, if not anomalous. Send operator into plant to check indicator and surrounding indicators. If there is congruence between reading in control room and indicator on plant, take down signal protocol for the faulty transmitter. Call electrician. If there is no congruence between reading in control room and indicator on plant.",20 seconds
5,PT115a,0B/0C,Signal fault,"Check TT213, TT210, TT104 <50°C and PT103, PT104, PT115a, PT115b < 6 bar, if not anomalous. Send operator into plant to check indicator and surrounding indicators. If there is congruence between reading in control room and indicator on plant, take down signal protocol for the faulty transmitter. Call electrician. If there is no congruence between reading in control room and indicator on plant.",20 seconds
6,"FT108,FT109,P115b","1C,1C,2B",Blockage in N200,"Switch J101b control mode to manual and decrease J101b pump speed to 5%. Simultaneously monitor PT115b. If it continues to spike, cut J101b.Open V212. Then close V211 and V213. Check V124, V119a, V119b are open (in flow direction for V119a and V119b). Monitor PT115b. If PT115b is <2 bar, increase J101b speed sequentially in 5% steps to return to steady state operation",10 seconds
7,"FT108,FT109,P115b","0C,0C,2B",Blocked line between J101a and FT109,"Switch J101b control mode to manual and decrease J101b pump speed to 5%. Simultaneously monitor PT115b. If it continues to spike, cut J101b. Check V135b, V134b, V143b, V144b are open",10 seconds
8,LT108,1C/3C,Misdirected flow downstream of FT109,"Check SOV123, V150, V151, SOV152, V149, V153, V154, V210, V406, NRV400 and all absorber sample valves are closed and not visibly damaged. Check plant for visible MEA leakage",10 seconds
9,"FT108,FT109,LT108","0C/1C,0C/1C,1C/3C",Misdirected flow upstream of FT109,"Check V139b, V142b, V146b, V147b, V133, V134a, V135a, V139a, V142a, V146a, V147a, V131, PCV120a, PCV120b, RV106a, RV106b and all absorber sample valves are closed and not visibly damaged. Check plant for visible MEA leakage",10-20 seconds
10,"FT108,FT109","1C,1C",Leak upstream of FT109,Check line for visible leaks. Attempt to locate the leak Refer to leak SOP.,3-4 minutes
11,"FT108,FT109,P115b","0C/3C,0C/3C,3C",J101b Pump Malfunction (loss of power),"Shift J101a to manual control mode and decrease J101b speed in 5% steps down to zero. Check TT111b for pump overheat, and inspect J101b for damages",3-4 minutes
12,"FT108,FT109,P115b","2B/3B,2B/3B,2B/3B",J101b Pump Controller / FIC 101b Malfunction (extreme oscillation),"Shift J101b to manual control mode and decrease J101b speed in 5% steps down. Monitor PT115b, FT108, FT109 for continued anomalies. Adjust control parameters as required",3-4 minutes
